gpu_model,Price,Link,Last Updated
RX 7900 XT,679.99,https://www.newegg.com/xfx-gaming-rx-79tmbabf9-radeon-rx-7900-xt-20gb-graphics-card-triple-fans/p/N82E16814150876?Item=9SIAD2CJS91325,2026-03-06
RX 7900 XTX,1066.03,https://www.newegg.com/sapphire-tech-pulse-11322-02-20g-radeon-rx-7900-xtx-24gb-graphics-card-triple-fans/p/N82E16814202429?Item=9SIBTK0KE62195,2026-03-06
RX 9060 XT,345.99,https://www.newegg.com/xfx-swift-rx-9060-xt-oc-triple-fan-radeon-rx-9060-xt-8gb-graphics-card-triple-fans/p/N82E16814150918?Item=9SIA2W0KPW0442,2026-03-06
RX 9070,629.99,https://www.newegg.com/asrock-challenger-rx9070-cl-16g-radeon-rx-9070-16gb-graphics-card-triple-fans/p/N82E16814930138?Item=N82E16814930138,2026-03-06
RX 9070 XT,729.99,https://www.newegg.com/asrock-challenger-rx9070xt-cl-16g-radeon-rx-9070-xt-16gb-graphics-card-triple-fans/p/N82E16814930145?Item=N82E16814930145,2026-03-06
Intel Arc B580,289.99,https://www.newegg.com/onix-lumi-8346-00278-arc-b580-12gb-graphics-card-double-fans/p/N82E16814987002?Item=N82E16814987002,2026-03-06
Intel Arc A770,359.00,https://www.newegg.com/p/3GM-0001-00014?Item=9SIBEWBKEX2361,2026-03-06
"RTX 3060 ",339.00,https://www.newegg.com/gigabyte-windforce-oc-gv-n3060wf2oc-12gd-rev2-0-geforce-rtx-3060-12gb-graphics-card-double-fans/p/N82E16814932658?Item=N82E16814932658,2026-03-06
Intel Arc B570,299.00,https://www.newegg.com/p/3GM-0001-00026?Item=9SIBM9SKJJ1953,2026-03-06
Intel Arc A750,279.00,https://www.newegg.com/p/3GM-0001-00020?Item=9SIBEWBKFH6662,2026-03-06
Intel Arc A580,299.99,https://www.newegg.com/asrock-challenger-b580-cl-12go-arc-b580-12gb-graphics-card-double-fans/p/N82E16814930131?Item=N82E16814930131,2026-03-06
RTX 3060 Ti,499.00,https://www.newegg.com/p/1FT-000A-00689?Item=9SIBW8HKC16375,2026-03-06
RTX 3070,325.00,https://www.newegg.com/peladn-geforce-rtx-3070-8gb-graphics-card-double-fans/p/1FT-00EY-00033?Item=9SIBF3CKGM8878,2026-03-06
RTX 3070 Ti,599.00,https://www.newegg.com/maxsun-icraft-geforce-rtx-3070-ti-8gb-graphics-card-triple-fans/p/1FT-009J-000C0?Item=9SIBTK0KEC0483,2026-03-06
RTX 3080,767.04,https://www.newegg.com/nvidia-900-1g133-2530-rf2-geforce-rtx-3080-10gb-graphics-card/p/N82E16814132098?Item=9SIBTK0KFV5256,2026-03-06
RTX 3080 12GB,1095.00,https://www.newegg.com/msi-rtx-3080-ventus-3x-plus-12g-lhr-geforce-rtx-3080-12gb-graphics-card-triple-fans/p/N82E16814137764?Item=9SIB4VJKC38253,2026-03-06
RTX 3080 Ti,1145.00,https://www.newegg.com/p/1FT-000M-003C4?Item=9SIB4VJKBY1610,2026-03-06
RTX 3090,1510.20,https://www.newegg.com/nvidia-900-1g1362-5100-00-geforce-rtx-3090-24gb-graphics-card/p/1FT-0004-00842?Item=9SIBTK0KFV5254,2026-03-06
RTX 3090 Ti,1998.00,https://www.newegg.com/p/1FT-001K-00FE5?Item=9SIB4VJKBN8280,2026-03-06
RTX 2060,469.00,https://www.newegg.com/gigabyte-gv-n2060wf2oc-6gd-r2-geforce-rtx-2060-6gb-graphics-card-windforce-2x/p/N82E16814932157?Item=9SIBW8HKBY1760,2026-03-06
RTX 2060 Super,588.00,https://www.newegg.com/pny-technologies-inc-geforce-rtx-2060-8gb-graphics-card/p/1FT-000P-003P0?Item=9SIB4VJKP93706,2026-03-06
RTX 2070,675.00,https://www.newegg.com/gigabyte-gv-n2070aorus-8gc-geforce-rtx-2070-8gb-graphics-card-windforce-stack/p/N82E16814932088?Item=9SIB4VJKP93808,2026-03-06
RTX 2070 Super,745.00,https://www.newegg.com/msi-rtx-2070-super-gaming-z-trio-geforce-rtx-2070-super-8gb-graphics-card-triple-fans/p/N82E16814137487?Item=9SIB4VJKMG7528,2026-03-06
RTX 2080,725.00,https://www.newegg.com/asus-dual-rtx2080-8g-evo-geforce-rtx-2080-8gb-graphics-card-double-fans/p/N82E16814126340?Item=9SIB4VJKBM6266,2026-03-06
RTX 2080 Super,799.00,https://www.newegg.com/msi-rtx-2080-super-ventus-oc-geforce-rtx-2080-super-8gb-graphics-card-double-fans/p/N82E16814137443?Item=9SIB4VJKBM6279,2026-03-06
RTX 2080 Ti,695.00,https://www.newegg.com/zotac-zt-t20810a-10p-geforce-rtx-2080-ti-11gb-graphics-card-blower/p/N82E16814500451?Item=9SIB1PGFBY3314,2026-03-06
GTX 1080 Ti,399.00,https://www.newegg.com/p/1FT-0009-000T9?Item=9SIB4VJKBJ4020,2026-03-06
