rank_new_value,gpu_model,benchmark_group,normalized_fps_1440p,new_price,new_cost_per_fps,Link,source,last_updated
26,RTX 3070 Ti,legacy,58.3,599.0,10.274,https://www.newegg.com/maxsun-icraft-geforce-rtx-3070-ti-8gb-graphics-card-triple-fans/p/1FT-009J-000C0?Item=9SIBTK0KEC0483,Toms_GPU_Hierarchy_2022,2026-03-03
27,RX 7900 XTX,modern,102.6,1066.03,10.39,https://www.newegg.com/sapphire-tech-pulse-11322-02-20g-radeon-rx-7900-xtx-24gb-graphics-card-triple-fans/p/N82E16814202429?Item=9SIBTK0KE62195,Toms_GPU_Hierarchy_2026,2026-03-03
28,RTX 5070 Ti,modern,101.2,1059.99,10.474,https://www.newegg.com/gigabyte-gv-n507teagleoc-ice-16gd-geforce-rtx-5070-ti-16gb-graphics-card-triple-fans/p/N82E16814932769?Item=N82E16814932769,Toms_GPU_Hierarchy_2026,2026-03-03
29,RTX 4070 Ti,modern,85.5,909.86,10.642,https://www.newegg.com/asus-rog-strix-rtx4070ti-o12g-gaming-geforce-rtx-4070-ti-12gb-graphics-card-triple-fans/p/N82E16814126604?Item=9SIBTK0KEA5129,Toms_GPU_Hierarchy_2026,2026-03-03
30,RX 6950 XT,legacy,77.5,829.99,10.71,https://www.newegg.com/asrock-oc-formula-rx6950xt-ocf-16g-radeon-rx-6950-xt-16gb-graphics-card-triple-fans/p/N82E16814930073?Item=9SIA4REKGJ9521,Toms_GPU_Hierarchy_2022,2026-03-03
31,Intel Arc A580,modern,27.8,299.99,10.791,https://www.newegg.com/asrock-challenger-b580-cl-12go-arc-b580-12gb-graphics-card-double-fans/p/N82E16814930131?Item=N82E16814930131,Toms_GPU_Hierarchy_2026,2026-03-03
32,RTX 4060,modern,38.9,419.99,10.797,https://www.newegg.com/msi-rtx-4060-ventus-2x-black-8g-oc-geforce-rtx-4060-8gb-graphics-card-double-fans/p/N82E16814137804?Item=9SIC1CZKK34982,Toms_GPU_Hierarchy_2026,2026-03-03
33,RX 6900 XT,legacy,71.8,799.0,11.128,https://www.newegg.com/asrock-phantom-gaming-d-rx6900xt-pgd-16go-radeon-rx-6900-xt-16gb-graphics-card-triple-fans/p/N82E16814930052?Item=9SIAM3PKS99198,Toms_GPU_Hierarchy_2022,2026-03-03
34,RTX 5080,modern,111.7,1249.99,11.191,https://www.newegg.com/zotac-gaming-geforce-rtx-5080-solid-core-oc-16gb-graphics-card-triple-fans/p/N82E16814500604?Item=N82E16814500604,Toms_GPU_Hierarchy_2026,2026-03-03
35,GTX 1080 Ti,legacy,35.3,399.0,11.303,https://www.newegg.com/p/1FT-0009-000T9?Item=9SIB4VJKBJ4020,Toms_GPU_Hierarchy_2022,2026-03-03
36,RTX 3080,legacy,67.8,767.04,11.313,https://www.newegg.com/nvidia-900-1g133-2530-rf2-geforce-rtx-3080-10gb-graphics-card/p/N82E16814132098?Item=9SIBTK0KFV5256,Toms_GPU_Hierarchy_2022,2026-03-03
37,RX 7600 XT,modern,41.7,499.99,11.99,https://www.newegg.com/xfx-speedster-rx-76tswftfp-radeon-rx-7600-xt-16gb-graphics-card-double-fans/p/N82E16814150889?Item=9SIADFRKFS4159,Toms_GPU_Hierarchy_2026,2026-03-03
38,RTX 4080,modern,103.7,1283.31,12.375,https://www.newegg.com/asus-proart-rtx4080-o16g-geforce-rtx-4080-16gb-graphics-card-triple-fans/p/N82E16814126664?Item=9SIBTK0KEH7223,Toms_GPU_Hierarchy_2026,2026-03-03
39,RTX 2080 Ti,legacy,53.2,695.0,13.064,https://www.newegg.com/zotac-zt-t20810a-10p-geforce-rtx-2080-ti-11gb-graphics-card-blower/p/N82E16814500451?Item=9SIB1PGFBY3314,Toms_GPU_Hierarchy_2022,2026-03-03
40,RTX 4060 Ti 16GB,modern,52.5,699.0,13.314,https://www.newegg.com/gigabyte-windforce-gv-n406twf2oc-16gd-geforce-rtx-4060-ti-16gb-graphics-card-double-fans/p/N82E16814932659?Item=9SIBTK0KD87787,Toms_GPU_Hierarchy_2026,2026-03-03
41,RX 6600,modern,24.1,329.0,13.651,https://www.newegg.com/p/27N-0005-001X6?Item=9SIBTK0KEF3427,Toms_GPU_Hierarchy_2026,2026-03-03
42,RTX 4080 Super,modern,105.8,1499.99,14.178,https://www.newegg.com/asus-proart-rtx4080-16g-geforce-rtx-4080-16gb-video-cards-triple-fans/p/1FT-000Y-00C62?Item=9SIBP4YKN82567,Toms_GPU_Hierarchy_2026,2026-03-03
43,RX 6600 XT,legacy,36.7,549.0,14.959,https://www.newegg.com/p/27N-000F-000K8?Item=9SIB4VJKN82370,Toms_GPU_Hierarchy_2022,2026-03-06
44,RX 6700 XT,legacy,51.7,778.7,15.062,https://www.newegg.com/asrock-challenger-d-rx6700xt-cld-12g-radeon-rx-6700-xt-12gb-graphics-card-double-fans/p/N82E16814930056?Item=9SIBTK0KP53780,Toms_GPU_Hierarchy_2022,2026-03-03
45,RX 6750 XT,legacy,54.3,825.55,15.203,https://www.newegg.com/asrock-phantom-gaming-d-rx6750xt-pgd-12go-radeon-rx-6750-xt-12gb-graphics-card-triple-fans/p/N82E16814930072?Item=9SIBTK0KP53782,Toms_GPU_Hierarchy_2022,2026-03-03
